,id,item_name,supplier,quantity,cost_per_unit,total_cost,expiry_date,location,stock_status,order_date,delivery_date,delivery_status,days_to_expiry,expiry_status
24,24,Thousand Sanitizers,Medsupplies,247,405.87,100249.89,28/05/2025,Clinic Branch,Low Stock,11/03/2022,02/02/2024,Delivered,91,Valid
25,25,Memory Sanitizers,Carewell,222,129.6,28771.2,10/10/2026,Main Hospital,Low Stock,12/09/2022,06/11/2022,Delivered,591,Valid
26,26,Table Surgical Equipment,Medsupplies,78,474.29,36994.62,11/05/2027,Warehouse B,Low Stock,05/09/2022,09/10/2022,Delivered,804,Valid
27,27,Usually Sanitizers,Pharmaplus,184,130.61,24032.24,30/07/2025,Emergency Storage,Available,26/08/2022,24/01/2023,Delivered,154,Valid
28,28,Ask Sanitizers,Medsupplies,147,433.78,63765.66,02/04/2025,Main Hospital,Out Of Stock,21/11/2022,Not Delivered,Pending,35,Valid
29,29,Issue Diagnostic Tools,Medicorp,64,10.74,687.36,09/10/2025,Emergency Storage,Out Of Stock,03/12/2024,15/03/2025,Delivered,225,Valid
30,30,Personal Medicine,Pharmaplus,115,93.64,10768.6,31/12/2099,Warehouse A,Available,28/04/2023,29/05/2024,Delivered,27336,Valid
31,31,Maintain Surgical Equipment,Unknown,241,399.75,96339.75,18/09/2024,Emergency Storage,Low Stock,08/12/2024,11/01/2025,Delivered,-161,Expired
32,32,Drive Surgical Equipment,Pharmaplus,104,158.44,16477.76,22/07/2026,Clinic Branch,Out Of Stock,01/12/2023,12/02/2024,Delivered,511,Valid
33,33,Trip Diagnostic Tools,Medsupplies,53,408.26,21637.78,02/10/2024,Clinic Branch,Available,07/07/2023,Not Delivered,Pending,-147,Expired
34,34,But Diagnostic Tools,Medicorp,147,16.52,2428.44,27/11/2027,Clinic Branch,Out Of Stock,03/07/2022,05/11/2024,Delivered,1004,Valid
35,35,Knowledge Medicine,Carewell,21,161.8,3397.8,07/09/2025,Clinic Branch,Out Of Stock,10/06/2024,16/11/2024,Delivered,193,Valid
36,36,Purpose Surgical Equipment,Carewell,205,381.78,78264.9,21/03/2027,Main Hospital,Low Stock,22/12/2023,28/12/2024,Delivered,753,Valid
37,37,Political Medicine,Carewell,265,404.87,107290.55,10/11/2024,Emergency Storage,Out Of Stock,05/12/2023,Not Delivered,Pending,-108,Expired
38,38,Collection Medicine,Medicorp,265,42.09,11153.85,13/09/2026,Warehouse B,Out Of Stock,22/07/2022,09/08/2024,Delivered,564,Valid
39,39,Off Sanitizers,Pharmaplus,71,457.03,32449.13,12/09/2027,Warehouse A,Available,06/10/2024,04/02/2025,Delivered,928,Valid
40,40,Mind Medicine,Carewell,0,161.36,0,30/09/2027,Main Hospital,Available,04/06/2024,29/01/2025,Delivered,946,Valid
41,41,Research Sanitizers,Carewell,289,377.67,109146.63,11/06/2027,Main Hospital,Low Stock,18/11/2024,10/12/2024,Delivered,835,Valid
42,42,Wind Personal Protective Equipment,Medicorp,68,236.68,16094.24,26/06/2024,Warehouse B,Low Stock,07/10/2023,Not Delivered,Pending,-245,Expired
43,43,As Diagnostic Tools,Healthfirst,228,489.46,111596.88,16/10/2025,Emergency Storage,Low Stock,22/08/2022,22/06/2023,Delivered,232,Valid
44,44,List Diagnostic Tools,Carewell,142,211.65,30054.3,12/08/2027,Emergency Storage,Out Of Stock,17/03/2023,27/08/2023,Delivered,897,Valid
45,45,Behavior Sanitizers,Carewell,224,98.8,22131.2,17/08/2025,Main Hospital,Out Of Stock,22/11/2024,20/12/2024,Delivered,172,Valid
46,46,Major Medicine,Pharmaplus,53,147.77,7831.81,11/01/2028,Clinic Branch,Available,23/07/2023,09/06/2024,Delivered,1049,Valid
47,47,Attack Surgical Equipment,Medsupplies,0,342.94,0,27/02/2026,Clinic Branch,Out Of Stock,26/07/2022,30/07/2024,Delivered,366,Valid
48,48,Movie Surgical Equipment,Carewell,56,493.64,27643.84,11/08/2027,Main Hospital,Available,25/05/2023,02/05/2024,Delivered,896,Valid
49,49,Yard Personal Protective Equipment,Pharmaplus,187,266.09,49758.83,28/07/2026,Warehouse B,Out Of Stock,13/11/2024,23/12/2024,Delivered,517,Valid
50,50,How Personal Protective Equipment,Medsupplies,184,385.16,70869.44,29/03/2027,Main Hospital,Out Of Stock,15/12/2022,30/06/2024,Delivered,761,Valid
51,51,Person Sanitizers,Pharmaplus,200,409.18,81836,27/06/2026,Emergency Storage,Available,19/08/2024,14/01/2025,Delivered,486,Valid
52,52,Available Surgical Equipment,Medicorp,81,66.46,5383.26,10/12/2027,Clinic Branch,Out Of Stock,23/12/2022,16/04/2023,Delivered,1017,Valid
53,53,Share Medicine,Pharmaplus,182,57.09,10390.38,19/11/2027,Warehouse B,Available,02/03/2024,27/12/2024,Delivered,996,Valid
54,54,Have Medicine,Healthfirst,284,225.71,64101.64,05/01/2028,Main Hospital,Out Of Stock,21/02/2023,Not Delivered,Pending,1043,Valid
55,55,Unit Surgical Equipment,Carewell,193,446.94,86259.42,09/01/2026,Warehouse B,Low Stock,29/12/2023,05/02/2024,Delivered,317,Valid
56,56,Improve Diagnostic Tools,Carewell,154,48.28,7435.12,14/09/2024,Main Hospital,Low Stock,04/10/2024,04/12/2024,Delivered,-165,Expired
57,57,Never Diagnostic Tools,Carewell,76,117.36,8919.36,07/01/2027,Clinic Branch,Available,27/03/2023,18/12/2023,Delivered,680,Valid
58,58,Alone Surgical Equipment,Pharmaplus,30,271.93,8157.9,13/07/2024,Main Hospital,Low Stock,17/05/2023,10/09/2024,Delivered,-228,Expired
59,59,Red Medicine,Carewell,138,227.91,31451.58,28/05/2025,Warehouse B,Low Stock,03/01/2023,Not Delivered,Pending,91,Valid
60,60,Message Surgical Equipment,Carewell,284,225.46,64030.64,15/10/2026,Main Hospital,Available,26/01/2024,07/04/2024,Delivered,596,Valid
61,61,City Medicine,Carewell,90,324.09,29168.1,07/07/2024,Warehouse A,Out Of Stock,04/04/2024,01/02/2025,Delivered,-234,Expired
62,62,Toward Sanitizers,Healthfirst,258,240.93,62159.94,07/02/2027,Emergency Storage,Low Stock,07/01/2024,29/01/2025,Delivered,711,Valid
63,63,Human Medicine,Medicorp,25,341.31,8532.75,07/09/2025,Main Hospital,Out Of Stock,07/01/2023,22/12/2024,Delivered,193,Valid
64,64,Stock Surgical Equipment,Pharmaplus,134,140.02,18762.68,29/10/2024,Warehouse B,Low Stock,21/03/2022,18/03/2023,Delivered,-120,Expired
65,65,Between Medicine,Medicorp,241,127.8,30799.8,21/09/2025,Main Hospital,Out Of Stock,20/04/2022,Not Delivered,Pending,207,Valid
66,66,Close Personal Protective Equipment,Healthfirst,227,9.85,2235.95,14/03/2024,Main Hospital,Available,28/12/2024,15/02/2025,Delivered,-349,Expired
67,67,Customer Medicine,Medicorp,177,274.77,48634.29,24/05/2026,Main Hospital,Out Of Stock,04/04/2023,27/01/2024,Delivered,452,Valid
68,68,Single Sanitizers,Pharmaplus,245,177.01,43367.45,20/12/2024,Main Hospital,Out Of Stock,05/06/2024,01/09/2024,Delivered,-68,Expired
69,69,Door Diagnostic Tools,Healthfirst,229,232.14,53160.06,29/06/2025,Clinic Branch,Available,22/06/2023,07/08/2024,Delivered,123,Valid
70,70,Structure Medicine,Pharmaplus,299,19.21,5743.79,20/05/2027,Clinic Branch,Out Of Stock,26/04/2023,20/02/2025,Delivered,813,Valid
71,71,So Medicine,Medsupplies,187,368.85,68974.95,02/04/2025,Main Hospital,Low Stock,17/02/2025,05/03/2025,Delivered,35,Valid
72,72,Each Diagnostic Tools,Pharmaplus,161,107.93,17376.73,21/06/2024,Warehouse A,Low Stock,18/06/2024,20/01/2025,Delivered,-250,Expired
73,73,Us Medicine,Healthfirst,139,18.63,2589.57,04/10/2024,Warehouse B,Out Of Stock,21/03/2024,10/03/2025,Delivered,-145,Expired
74,74,Other Surgical Equipment,Healthfirst,131,176.43,23112.33,31/08/2025,Warehouse A,Available,21/04/2023,24/05/2024,Delivered,186,Valid
75,75,Business Personal Protective Equipment,Carewell,69,44.68,3082.92,12/02/2025,Main Hospital,Low Stock,16/12/2022,01/02/2025,Delivered,-14,Expired
76,76,Final Diagnostic Tools,Healthfirst,115,399.29,45918.35,09/08/2025,Warehouse A,Available,26/09/2024,07/11/2024,Delivered,164,Valid
77,77,Wrong Sanitizers,Pharmaplus,233,95.16,22172.28,28/02/2026,Warehouse A,Out Of Stock,28/05/2024,11/11/2024,Delivered,367,Valid
78,78,Place Diagnostic Tools,Healthfirst,218,235.04,51238.72,22/04/2025,Warehouse B,Low Stock,27/09/2022,21/11/2022,Delivered,55,Valid
79,79,Owner Personal Protective Equipment,Medicorp,144,357.65,51501.6,01/12/2026,Clinic Branch,Low Stock,14/07/2024,14/02/2025,Delivered,643,Valid
80,80,Give Surgical Equipment,Pharmaplus,49,467.01,22883.49,02/08/2025,Warehouse A,Out Of Stock,11/05/2023,09/06/2024,Delivered,157,Valid
81,81,Middle Personal Protective Equipment,Pharmaplus,297,62.41,18535.77,23/08/2024,Warehouse B,Available,02/06/2023,04/07/2023,Delivered,-187,Expired
82,82,Response Diagnostic Tools,Medsupplies,293,32.67,9572.31,25/11/2027,Emergency Storage,Available,01/06/2023,Not Delivered,Pending,1002,Valid
83,83,Happy Medicine,Medsupplies,171,448.65,76719.15,13/07/2024,Warehouse A,Low Stock,17/09/2023,12/10/2024,Delivered,-228,Expired
84,84,Play Sanitizers,Medsupplies,13,163.11,2120.43,26/11/2025,Emergency Storage,Out Of Stock,30/08/2024,14/01/2025,Delivered,273,Valid
85,85,Sort Surgical Equipment,Carewell,197,350.41,69030.77,20/05/2025,Main Hospital,Available,08/10/2022,30/06/2023,Delivered,83,Valid
86,86,Allow Personal Protective Equipment,Medsupplies,0,90.22,0,29/03/2025,Emergency Storage,Low Stock,29/12/2023,02/04/2024,Delivered,31,Valid
87,87,Doctor Medicine,Healthfirst,246,497.69,122431.74,11/04/2024,Warehouse A,Available,30/05/2022,17/12/2024,Delivered,-321,Expired
88,88,Hundred Diagnostic Tools,Pharmaplus,0,216.36,0,21/03/2026,Warehouse B,Out Of Stock,30/03/2024,06/12/2024,Delivered,388,Valid
89,89,Key Surgical Equipment,Healthfirst,78,476.19,37142.82,31/08/2025,Clinic Branch,Available,06/09/2024,13/03/2025,Delivered,186,Valid
90,90,Expert Personal Protective Equipment,Medicorp,289,142.48,41176.72,20/05/2024,Emergency Storage,Available,02/10/2024,19/03/2025,Delivered,-282,Expired
91,91,Including Surgical Equipment,Unknown,288,265.07,76340.16,13/05/2026,Warehouse A,Available,09/10/2022,30/11/2022,Delivered,441,Valid
92,92,Author Diagnostic Tools,Healthfirst,158,236.78,37411.24,01/02/2028,Main Hospital,Available,03/03/2022,17/11/2024,Delivered,1070,Valid
93,93,Factor Surgical Equipment,Pharmaplus,10,374.32,3743.2,29/07/2024,Emergency Storage,Low Stock,26/01/2025,28/02/2025,Delivered,-212,Expired
94,94,Price Medicine,Medsupplies,93,356.19,33125.67,31/07/2027,Warehouse A,Low Stock,12/04/2022,Not Delivered,Pending,885,Valid
95,95,When Sanitizers,Medicorp,201,376.28,75632.28,08/12/2026,Clinic Branch,Low Stock,12/10/2022,Not Delivered,Pending,650,Valid
96,96,On Surgical Equipment,Pharmaplus,154,487.4,75059.6,22/01/2026,Emergency Storage,Available,17/05/2022,10/12/2022,Delivered,330,Valid
97,97,Structure Surgical Equipment,Medicorp,0,322.96,0,08/05/2024,Emergency Storage,Low Stock,16/03/2024,22/12/2024,Delivered,-294,Expired
98,98,Debate Medicine,Medsupplies,1,44.05,44.05,25/03/2025,Warehouse A,Available,05/12/2022,04/04/2024,Delivered,27,Valid
99,99,South Medicine,Carewell,109,344.75,37577.75,30/06/2026,Clinic Branch,Low Stock,31/12/2022,27/03/2024,Delivered,489,Valid
100,100,If Surgical Equipment,Medicorp,117,9.45,1105.65,03/05/2026,Clinic Branch,Out Of Stock,22/01/2024,11/10/2024,Delivered,431,Valid
101,101,Ready Surgical Equipment,Pharmaplus,79,418.25,33041.75,19/07/2025,Warehouse A,Out Of Stock,22/04/2024,22/06/2024,Delivered,143,Valid
102,102,Sense Surgical Equipment,Medicorp,145,434.1,62944.5,12/03/2026,Emergency Storage,Out Of Stock,09/02/2023,12/05/2024,Delivered,379,Valid
103,103,Simply Diagnostic Tools,Healthfirst,132,486.09,64163.88,18/12/2027,Clinic Branch,Available,05/10/2023,15/11/2024,Delivered,1025,Valid
104,104,Method Medicine,Medicorp,146,378.29,55230.34,01/11/2024,Clinic Branch,Available,19/07/2024,16/09/2024,Delivered,-117,Expired
105,105,Decide Sanitizers,Healthfirst,92,220.24,20262.08,29/09/2025,Warehouse A,Available,29/08/2022,14/08/2023,Delivered,215,Valid
106,106,Finish Surgical Equipment,Pharmaplus,2,430.07,860.14,15/11/2026,Main Hospital,Available,09/10/2022,23/06/2023,Delivered,627,Valid
107,107,Ready Surgical Equipment,Medicorp,52,320.58,16670.16,26/08/2025,Main Hospital,Available,14/02/2025,19/03/2025,Delivered,181,Valid
108,108,Entire Medicine,Medsupplies,165,451.88,74560.2,17/01/2026,Warehouse B,Low Stock,08/07/2024,05/03/2025,Delivered,325,Valid
109,109,Group Sanitizers,Medsupplies,92,461.26,42435.92,15/07/2026,Warehouse B,Low Stock,16/12/2024,28/01/2025,Delivered,504,Valid
110,110,Price Medicine,Pharmaplus,207,453.99,93975.93,01/01/2028,Main Hospital,Available,07/02/2024,16/07/2024,Delivered,1039,Valid
111,111,Military Personal Protective Equipment,Medicorp,111,272.69,30268.59,08/12/2027,Clinic Branch,Out Of Stock,08/04/2023,11/07/2024,Delivered,1015,Valid
112,112,However Surgical Equipment,Carewell,169,59.56,10065.64,06/11/2026,Emergency Storage,Out Of Stock,17/01/2025,09/03/2025,Delivered,618,Valid
113,113,Create Personal Protective Equipment,Medicorp,33,409.64,13518.12,25/03/2026,Warehouse B,Out Of Stock,19/07/2022,24/11/2022,Delivered,392,Valid
114,114,Next Personal Protective Equipment,Medsupplies,70,39.2,2744,23/03/2026,Emergency Storage,Out Of Stock,15/05/2024,17/12/2024,Delivered,390,Valid
115,115,Effort Medicine,Pharmaplus,169,93.02,15720.38,27/11/2027,Main Hospital,Available,18/12/2024,11/02/2025,Delivered,1004,Valid
116,116,Today Sanitizers,Pharmaplus,283,100.14,28339.62,26/01/2028,Emergency Storage,Available,11/02/2023,07/03/2023,Delivered,1064,Valid
117,117,House Surgical Equipment,Pharmaplus,2,311.65,623.3,26/03/2027,Warehouse A,Available,20/03/2022,28/04/2023,Delivered,758,Valid
118,118,Some Sanitizers,Medsupplies,170,102.19,17372.3,01/01/2028,Main Hospital,Low Stock,09/03/2022,08/05/2023,Delivered,1039,Valid
119,119,Recognize Personal Protective Equipment,Healthfirst,194,156.8,30419.2,22/02/2025,Clinic Branch,Low Stock,07/06/2022,18/07/2024,Delivered,-4,Expired
120,120,Force Surgical Equipment,Healthfirst,256,358.28,91719.68,17/02/2027,Clinic Branch,Out Of Stock,21/04/2023,06/09/2024,Delivered,721,Valid
121,121,Adult Personal Protective Equipment,Carewell,268,119.21,31948.28,20/07/2024,Emergency Storage,Available,11/02/2023,18/04/2024,Delivered,-221,Expired
122,122,Push Surgical Equipment,Carewell,213,455.39,96998.07,22/07/2025,Warehouse B,Available,28/11/2022,01/10/2023,Delivered,146,Valid
123,123,Anything Personal Protective Equipment,Healthfirst,7,413.31,2893.17,19/11/2027,Warehouse B,Available,09/06/2022,19/01/2023,Delivered,996,Valid
124,124,Experience Diagnostic Tools,Pharmaplus,120,422.56,50707.2,22/11/2025,Warehouse B,Low Stock,28/05/2023,Not Delivered,Pending,269,Valid
125,125,Interest Sanitizers,Medicorp,90,159.32,14338.8,24/03/2024,Warehouse B,Out Of Stock,04/09/2022,22/06/2024,Delivered,-339,Expired
126,126,Bag Diagnostic Tools,Pharmaplus,236,117.82,27805.52,27/05/2026,Clinic Branch,Low Stock,29/05/2022,22/06/2023,Delivered,455,Valid
127,127,Could Personal Protective Equipment,Carewell,188,110.46,20766.48,11/09/2025,Clinic Branch,Low Stock,02/05/2024,22/10/2024,Delivered,197,Valid
128,128,Bring Medicine,Medicorp,143,356.23,50940.89,03/04/2025,Clinic Branch,Out Of Stock,26/02/2022,04/09/2022,Delivered,36,Valid
129,129,Reason Personal Protective Equipment,Healthfirst,155,266.59,41321.45,22/01/2028,Emergency Storage,Low Stock,20/05/2024,17/09/2024,Delivered,1060,Valid
130,130,Foot Medicine,Carewell,37,314.43,11633.91,09/09/2026,Clinic Branch,Available,01/10/2022,28/11/2022,Delivered,560,Valid
131,131,Sort Diagnostic Tools,Healthfirst,165,343.95,56751.75,25/09/2024,Clinic Branch,Low Stock,04/12/2024,23/01/2025,Delivered,-154,Expired
132,132,Agree Diagnostic Tools,Pharmaplus,198,424.01,83953.98,22/03/2025,Emergency Storage,Low Stock,28/06/2024,15/12/2024,Delivered,24,Valid
133,133,House Medicine,Medsupplies,0,460.74,0,04/02/2027,Main Hospital,Available,24/05/2022,06/05/2024,Delivered,708,Valid
134,134,He Sanitizers,Pharmaplus,172,140.21,24116.12,01/11/2026,Main Hospital,Available,21/01/2024,Not Delivered,Pending,613,Valid
135,135,Scene Medicine,Medicorp,183,452.72,82847.76,29/04/2026,Warehouse A,Low Stock,11/02/2023,17/03/2024,Delivered,427,Valid
136,136,Moment Medicine,Medsupplies,92,95.65,8799.8,15/07/2027,Emergency Storage,Low Stock,12/05/2022,01/08/2023,Delivered,869,Valid
137,137,Hot Personal Protective Equipment,Medsupplies,143,240.79,34432.97,25/08/2024,Main Hospital,Low Stock,25/07/2024,Not Delivered,Pending,-185,Expired
138,138,Worker Personal Protective Equipment,Carewell,225,422.86,95143.5,27/05/2025,Clinic Branch,Low Stock,07/05/2022,14/08/2022,Delivered,90,Valid
139,139,Plan Personal Protective Equipment,Medsupplies,201,319.12,64143.12,25/09/2026,Emergency Storage,Out Of Stock,18/11/2024,27/12/2024,Delivered,576,Valid
140,140,Floor Surgical Equipment,Medicorp,169,325.04,54931.76,11/03/2024,Warehouse A,Out Of Stock,23/06/2024,07/07/2024,Delivered,-352,Expired
141,141,Popular Sanitizers,Pharmaplus,296,406.62,120359.52,26/11/2025,Clinic Branch,Available,25/02/2023,17/05/2024,Delivered,273,Valid
142,142,Point Personal Protective Equipment,Carewell,14,14.15,198.1,29/07/2027,Main Hospital,Low Stock,26/03/2022,22/08/2022,Delivered,883,Valid
143,143,Present Medicine,Medicorp,289,265.85,76830.65,03/04/2024,Main Hospital,Out Of Stock,06/03/2023,Not Delivered,Pending,-329,Expired
144,144,Newspaper Diagnostic Tools,Pharmaplus,0,125.19,0,19/11/2025,Emergency Storage,Out Of Stock,17/06/2022,21/09/2022,Delivered,266,Valid
145,145,Response Medicine,Medicorp,212,453.48,96137.76,31/05/2027,Warehouse A,Available,05/08/2023,31/07/2024,Delivered,824,Valid
146,146,Investment Surgical Equipment,Pharmaplus,97,497.97,48303.09,23/11/2025,Warehouse B,Low Stock,06/06/2023,28/01/2024,Delivered,270,Valid
147,147,Night Medicine,Medsupplies,207,430.19,89049.33,26/02/2026,Clinic Branch,Low Stock,26/11/2024,12/02/2025,Delivered,365,Valid
148,148,Treat Diagnostic Tools,Carewell,293,117.66,34474.38,28/05/2024,Clinic Branch,Out Of Stock,22/05/2024,01/07/2024,Delivered,-274,Expired
149,149,Almost Sanitizers,Pharmaplus,47,339.24,15944.28,21/04/2026,Clinic Branch,Low Stock,22/06/2022,06/07/2023,Delivered,419,Valid
150,150,Develop Sanitizers,Medicorp,93,269.8,25091.4,25/06/2027,Warehouse B,Low Stock,24/01/2023,14/01/2025,Delivered,849,Valid
151,151,Voice Sanitizers,Pharmaplus,230,280.72,64565.6,19/08/2025,Emergency Storage,Out Of Stock,19/09/2023,21/01/2025,Delivered,174,Valid
152,152,Law Diagnostic Tools,Healthfirst,119,455.9,54252.1,19/04/2024,Main Hospital,Available,08/04/2024,27/08/2024,Delivered,-313,Expired
153,153,Drug Personal Protective Equipment,Medsupplies,160,366.9,58704,04/03/2025,Warehouse B,Available,03/05/2022,14/08/2022,Delivered,6,Valid
154,154,Ten Sanitizers,Medsupplies,71,85.08,6040.68,18/05/2027,Main Hospital,Available,20/07/2024,24/01/2025,Delivered,811,Valid
155,155,Human Sanitizers,Unknown,119,166.14,19770.66,26/09/2024,Warehouse B,Low Stock,14/05/2024,11/08/2024,Delivered,-153,Expired
156,156,Try Diagnostic Tools,Medsupplies,155,138.37,21447.35,21/11/2024,Clinic Branch,Available,31/01/2025,05/02/2025,Delivered,-97,Expired
157,157,Picture Medicine,Medsupplies,224,391.52,87700.48,21/09/2025,Main Hospital,Available,01/02/2023,Not Delivered,Pending,207,Valid
158,158,Mention Diagnostic Tools,Medicorp,157,350.9,55091.3,14/01/2027,Main Hospital,Low Stock,08/03/2023,04/11/2024,Delivered,687,Valid
159,159,Treat Surgical Equipment,Carewell,2,27.39,54.78,08/06/2024,Warehouse A,Out Of Stock,25/09/2022,16/07/2024,Delivered,-263,Expired
160,160,Report Sanitizers,Medsupplies,251,135.61,34038.11,03/07/2026,Emergency Storage,Low Stock,15/05/2024,17/11/2024,Delivered,492,Valid
161,161,Cause Surgical Equipment,Medicorp,10,241.53,2415.3,10/04/2024,Clinic Branch,Low Stock,21/01/2025,23/01/2025,Delivered,-322,Expired
162,162,Seven Medicine,Medicorp,147,64.09,9421.23,23/01/2028,Warehouse B,Low Stock,09/04/2023,26/04/2023,Delivered,1061,Valid
163,163,Whether Medicine,Medsupplies,7,287.14,2009.98,20/06/2026,Warehouse B,Available,10/11/2022,20/09/2023,Delivered,479,Valid
164,164,Product Personal Protective Equipment,Medsupplies,287,365.43,104878.41,27/02/2024,Clinic Branch,Available,10/07/2022,13/10/2024,Delivered,-365,Expired
165,165,Sea Personal Protective Equipment,Medsupplies,49,470.71,23064.79,09/07/2024,Clinic Branch,Available,17/05/2023,04/11/2023,Delivered,-232,Expired
166,166,Concern Personal Protective Equipment,Carewell,92,220.9,20322.8,23/06/2025,Emergency Storage,Available,16/05/2024,24/10/2024,Delivered,117,Valid
167,167,Step Sanitizers,Healthfirst,124,368.24,45661.76,31/12/2027,Emergency Storage,Low Stock,05/04/2024,26/11/2024,Delivered,1038,Valid
168,168,Cover Personal Protective Equipment,Pharmaplus,227,157.47,35745.69,04/11/2025,Clinic Branch,Out Of Stock,15/06/2022,16/02/2024,Delivered,251,Valid
169,169,Determine Sanitizers,Healthfirst,185,400.8,74148,13/06/2026,Warehouse B,Low Stock,05/02/2024,21/03/2025,Delivered,472,Valid
170,170,Yeah Sanitizers,Pharmaplus,106,107.24,11367.44,10/04/2027,Warehouse B,Available,15/08/2023,16/02/2024,Delivered,773,Valid
171,171,Edge Personal Protective Equipment,Healthfirst,130,269.97,35096.1,15/09/2025,Clinic Branch,Available,09/09/2022,11/02/2024,Delivered,201,Valid
172,172,Western Medicine,Pharmaplus,102,48.89,4986.78,11/12/2024,Warehouse B,Low Stock,15/03/2023,29/04/2023,Delivered,-77,Expired
173,173,Assume Surgical Equipment,Carewell,41,294.37,12069.17,02/07/2025,Warehouse A,Low Stock,20/10/2023,17/12/2023,Delivered,126,Valid
174,174,It Medicine,Carewell,13,301.31,3917.03,12/04/2025,Warehouse A,Available,29/10/2022,08/03/2023,Delivered,45,Valid
175,175,Ago Sanitizers,Medicorp,297,272.86,81039.42,07/10/2025,Main Hospital,Available,16/09/2022,12/03/2024,Delivered,223,Valid
176,176,Congress Personal Protective Equipment,Carewell,129,150.76,19448.04,21/04/2027,Main Hospital,Low Stock,11/11/2022,09/07/2024,Delivered,784,Valid
177,177,Glass Sanitizers,Healthfirst,7,390.83,2735.81,04/10/2026,Clinic Branch,Available,13/08/2022,04/04/2023,Delivered,585,Valid
178,178,Industry Personal Protective Equipment,Healthfirst,265,46.34,12280.1,16/06/2025,Emergency Storage,Available,21/06/2023,25/01/2025,Delivered,110,Valid
