Item Name,Supplier,Quantity,Cost Per Unit,Total Cost,Expiry Date,Storage Location,Stock Status,Order Date,Delivery Date
Those Medicine,CareWell,31,277.1,8590.1,14/03/2026,Warehouse A,Available,14/03/2022,08/04/2023
Daughter Sanitizers,HealthFirst,224,322.77,72300.48,11/09/2024,Main Hospital,Out of Stock,04/06/2023,24/08/2023
Bad Medicine,HealthFirst,290,213.29,61854.1,03/02/2026,Warehouse A,Out of Stock,13/09/2022,13/10/2023
Type Medicine,MedSupplies,247,495.48,122383.56,07/12/2026,Main Hospital,Available,28/07/2022,14/04/2023
National Sanitizers,HealthFirst,145,477.16,69188.2,20/01/2025,Warehouse A,Low Stock,30/07/2022,27/02/2023
Thousand Sanitizers,MedSupplies,247,405.87,100249.89,28/05/2025,Clinic Branch,Low Stock,11/03/2022,02/02/2024
Memory Sanitizers,CareWell,222,129.6,28771.2,10/10/2026,Main Hospital,Low Stock,12/09/2022,06/11/2022
Table Surgical Equipment,MedSupplies,78,474.29,36994.62,11/05/2027,Warehouse B,Low Stock,05/09/2022,09/10/2022
Usually Sanitizers,PharmaPlus,184,130.61,24032.24,30/07/2025,Emergency Storage,Available,26/08/2022,24/01/2023
Ask Sanitizers,MedSupplies,147,433.78,63765.66,02/04/2025,Main Hospital,Out of Stock,21/11/2022,
Issue Diagnostic Tools,MediCorp,64,10.74,687.36,09/10/2025,Emergency Storage,Out of Stock,03/12/2024,15/03/2025
Personal Medicine,PharmaPlus,115,93.64,10768.6,Invalid Date,Warehouse A,Available,28/04/2023,29/05/2024
Maintain Surgical Equipment,,241,399.75,96339.75,18/09/2024,Emergency Storage,Low Stock,08/12/2024,11/01/2025
Drive Surgical Equipment,PharmaPlus,104,158.44,16477.76,22/07/2026,Clinic Branch,Out of Stock,01/12/2023,12/02/2024
Trip Diagnostic Tools,MedSupplies,53,408.26,21637.78,02/10/2024,Clinic Branch,Available,07/07/2023,
But Diagnostic Tools,MediCorp,147,16.52,2428.44,27/11/2027,Clinic Branch,Out of Stock,03/07/2022,05/11/2024
Knowledge Medicine,CareWell,21,161.8,3397.8,07/09/2025,Clinic Branch,Out of Stock,10/06/2024,16/11/2024
Purpose Surgical Equipment,CareWell,205,381.78,78264.9,21/03/2027,Main Hospital,Low Stock,22/12/2023,28/12/2024
Political Medicine,CareWell,265,404.87,107290.55,10/11/2024,Emergency Storage,Out of Stock,05/12/2023,
Collection Medicine,MediCorp,265,42.09,11153.85,13/09/2026,Warehouse B,Out of Stock,22/07/2022,09/08/2024
Off Sanitizers,PharmaPlus,71,457.03,32449.13,12/09/2027,Warehouse A,Available,06/10/2024,04/02/2025
Mind Medicine,CareWell,0,161.36,0,30/09/2027,Main Hospital,Available,04/06/2024,29/01/2025
Research Sanitizers,CareWell,289,377.67,109146.63,11/06/2027,Main Hospital,Low Stock,18/11/2024,10/12/2024
Wind Personal Protective Equipment,MediCorp,68,236.68,16094.24,26/06/2024,Warehouse B,Low Stock,07/10/2023,
As Diagnostic Tools,HealthFirst,228,489.46,111596.88,16/10/2025,Emergency Storage,Low Stock,22/08/2022,22/06/2023
List Diagnostic Tools,CareWell,142,211.65,30054.3,12/08/2027,Emergency Storage,Out of Stock,17/03/2023,27/08/2023
Behavior Sanitizers,CareWell,224,98.8,22131.2,17/08/2025,Main Hospital,Out of Stock,22/11/2024,20/12/2024
Major Medicine,PharmaPlus,53,147.77,7831.81,11/01/2028,Clinic Branch,Available,23/07/2023,09/06/2024
Attack Surgical Equipment,MedSupplies,0,342.94,0,27/02/2026,Clinic Branch,Out of Stock,26/07/2022,30/07/2024
Movie Surgical Equipment,CareWell,56,493.64,27643.84,11/08/2027,Main Hospital,Available,25/05/2023,02/05/2024
Yard Personal Protective Equipment,PharmaPlus,187,266.09,49758.83,28/07/2026,Warehouse B,Out of Stock,13/11/2024,23/12/2024
How Personal Protective Equipment,MedSupplies,184,385.16,70869.44,29/03/2027,Main Hospital,Out of Stock,15/12/2022,30/06/2024
Person Sanitizers,PharmaPlus,200,409.18,81836,27/06/2026,Emergency Storage,Available,19/08/2024,14/01/2025
Available Surgical Equipment,MediCorp,81,66.46,5383.26,10/12/2027,Clinic Branch,Out of Stock,23/12/2022,16/04/2023
Share Medicine,PharmaPlus,182,57.09,10390.38,19/11/2027,Warehouse B,Available,02/03/2024,27/12/2024
Have Medicine,HealthFirst,284,225.71,64101.64,05/01/2028,Main Hospital,Out of Stock,21/02/2023,
Unit Surgical Equipment,CareWell,193,446.94,86259.42,09/01/2026,Warehouse B,Low Stock,29/12/2023,05/02/2024
Improve Diagnostic Tools,CareWell,154,48.28,7435.12,14/09/2024,Main Hospital,Low Stock,04/10/2024,04/12/2024
Never Diagnostic Tools,CareWell,76,117.36,8919.36,07/01/2027,Clinic Branch,Available,27/03/2023,18/12/2023
Alone Surgical Equipment,PharmaPlus,30,271.93,8157.9,13/07/2024,Main Hospital,Low Stock,17/05/2023,10/09/2024
Red Medicine,CareWell,138,227.91,31451.58,28/05/2025,Warehouse B,Low Stock,03/01/2023,
Message Surgical Equipment,CareWell,284,225.46,64030.64,15/10/2026,Main Hospital,Available,26/01/2024,07/04/2024
City Medicine,CareWell,90,324.09,29168.1,07/07/2024,Warehouse A,Out of Stock,04/04/2024,01/02/2025
Toward Sanitizers,HealthFirst,258,240.93,62159.94,07/02/2027,Emergency Storage,Low Stock,07/01/2024,29/01/2025
Human Medicine,MediCorp,25,341.31,8532.75,07/09/2025,Main Hospital,Out of Stock,07/01/2023,22/12/2024
Stock Surgical Equipment,PharmaPlus,134,140.02,18762.68,29/10/2024,Warehouse B,Low Stock,21/03/2022,18/03/2023
Between Medicine,MediCorp,241,127.8,30799.8,21/09/2025,Main Hospital,Out of Stock,20/04/2022,
Close Personal Protective Equipment,HealthFirst,227,9.85,2235.95,14/03/2024,Main Hospital,Available,28/12/2024,15/02/2025
Customer Medicine,MediCorp,177,274.77,48634.29,24/05/2026,Main Hospital,Out of Stock,04/04/2023,27/01/2024
Single Sanitizers,PharmaPlus,245,177.01,43367.45,20/12/2024,Main Hospital,Out of Stock,05/06/2024,01/09/2024
Door Diagnostic Tools,HealthFirst,229,232.14,53160.06,29/06/2025,Clinic Branch,Available,22/06/2023,07/08/2024
Structure Medicine,PharmaPlus,299,19.21,5743.79,20/05/2027,Clinic Branch,Out of Stock,26/04/2023,20/02/2025
So Medicine,MedSupplies,187,368.85,68974.95,02/04/2025,Main Hospital,Low Stock,17/02/2025,05/03/2025
Each Diagnostic Tools,PharmaPlus,161,107.93,17376.73,21/06/2024,Warehouse A,Low Stock,18/06/2024,20/01/2025
Us Medicine,HealthFirst,139,18.63,2589.57,04/10/2024,Warehouse B,Out of Stock,21/03/2024,10/03/2025
Other Surgical Equipment,HealthFirst,131,176.43,23112.33,31/08/2025,Warehouse A,Available,21/04/2023,24/05/2024
Business Personal Protective Equipment,CareWell,69,44.68,3082.92,12/02/2025,Main Hospital,Low Stock,16/12/2022,01/02/2025
Final Diagnostic Tools,HealthFirst,115,399.29,45918.35,09/08/2025,Warehouse A,Available,26/09/2024,07/11/2024
Wrong Sanitizers,PharmaPlus,233,95.16,22172.28,28/02/2026,Warehouse A,Out of Stock,28/05/2024,11/11/2024
Place Diagnostic Tools,HealthFirst,218,235.04,51238.72,22/04/2025,Warehouse B,Low Stock,27/09/2022,21/11/2022
Owner Personal Protective Equipment,MediCorp,144,357.65,51501.6,01/12/2026,Clinic Branch,Low Stock,14/07/2024,14/02/2025
Give Surgical Equipment,PharmaPlus,49,467.01,22883.49,02/08/2025,Warehouse A,Out of Stock,11/05/2023,09/06/2024
Middle Personal Protective Equipment,PharmaPlus,297,62.41,18535.77,23/08/2024,Warehouse B,Available,02/06/2023,04/07/2023
Response Diagnostic Tools,MedSupplies,293,32.67,9572.31,25/11/2027,Emergency Storage,Available,01/06/2023,
Happy Medicine,MedSupplies,171,448.65,76719.15,13/07/2024,Warehouse A,Low Stock,17/09/2023,12/10/2024
Play Sanitizers,MedSupplies,13,163.11,2120.43,26/11/2025,Emergency Storage,Out of Stock,30/08/2024,14/01/2025
Sort Surgical Equipment,CareWell,197,350.41,69030.77,20/05/2025,Main Hospital,Available,08/10/2022,30/06/2023
Allow Personal Protective Equipment,MedSupplies,0,90.22,0,29/03/2025,Emergency Storage,Low Stock,29/12/2023,02/04/2024
Doctor Medicine,HealthFirst,246,497.69,122431.74,11/04/2024,Warehouse A,Available,30/05/2022,17/12/2024
Hundred Diagnostic Tools,PharmaPlus,0,216.36,0,21/03/2026,Warehouse B,Out of Stock,30/03/2024,06/12/2024
Key Surgical Equipment,HealthFirst,78,476.19,37142.82,31/08/2025,Clinic Branch,Available,06/09/2024,13/03/2025
Expert Personal Protective Equipment,MediCorp,289,142.48,41176.72,20/05/2024,Emergency Storage,Available,02/10/2024,19/03/2025
Including Surgical Equipment,,288,265.07,76340.16,13/05/2026,Warehouse A,Available,09/10/2022,30/11/2022
Author Diagnostic Tools,HealthFirst,158,236.78,37411.24,01/02/2028,Main Hospital,Available,03/03/2022,17/11/2024
Factor Surgical Equipment,PharmaPlus,10,374.32,3743.2,29/07/2024,Emergency Storage,Low Stock,26/01/2025,28/02/2025
Price Medicine,MedSupplies,93,356.19,33125.67,31/07/2027,Warehouse A,Low Stock,12/04/2022,
When Sanitizers,MediCorp,201,376.28,75632.28,08/12/2026,Clinic Branch,Low Stock,12/10/2022,
On Surgical Equipment,PharmaPlus,154,487.4,75059.6,22/01/2026,Emergency Storage,Available,17/05/2022,10/12/2022
Structure Surgical Equipment,MediCorp,0,322.96,0,08/05/2024,Emergency Storage,Low Stock,16/03/2024,22/12/2024
Debate Medicine,MedSupplies,1,44.05,44.05,25/03/2025,Warehouse A,Available,05/12/2022,04/04/2024
South Medicine,CareWell,109,344.75,37577.75,30/06/2026,Clinic Branch,Low Stock,31/12/2022,27/03/2024
If Surgical Equipment,MediCorp,117,9.45,1105.65,03/05/2026,Clinic Branch,Out of Stock,22/01/2024,11/10/2024
Ready Surgical Equipment,PharmaPlus,79,418.25,33041.75,19/07/2025,Warehouse A,Out of Stock,22/04/2024,22/06/2024
Sense Surgical Equipment,MediCorp,145,434.1,62944.5,12/03/2026,Emergency Storage,Out of Stock,09/02/2023,12/05/2024
Simply Diagnostic Tools,HealthFirst,132,486.09,64163.88,18/12/2027,Clinic Branch,Available,05/10/2023,15/11/2024
Method Medicine,MediCorp,146,378.29,55230.34,01/11/2024,Clinic Branch,Available,19/07/2024,16/09/2024
Decide Sanitizers,HealthFirst,92,220.24,20262.08,29/09/2025,Warehouse A,Available,29/08/2022,14/08/2023
Finish Surgical Equipment,PharmaPlus,2,430.07,860.14,15/11/2026,Main Hospital,Available,09/10/2022,23/06/2023
Ready Surgical Equipment,MediCorp,52,320.58,16670.16,26/08/2025,Main Hospital,Available,14/02/2025,19/03/2025
Entire Medicine,MedSupplies,165,451.88,74560.2,17/01/2026,Warehouse B,Low Stock,08/07/2024,05/03/2025
Group Sanitizers,MedSupplies,92,461.26,42435.92,15/07/2026,Warehouse B,Low Stock,16/12/2024,28/01/2025
Price Medicine,PharmaPlus,207,453.99,93975.93,01/01/2028,Main Hospital,Available,07/02/2024,16/07/2024
Military Personal Protective Equipment,MediCorp,111,272.69,30268.59,08/12/2027,Clinic Branch,Out of Stock,08/04/2023,11/07/2024
However Surgical Equipment,CareWell,169,59.56,10065.64,06/11/2026,Emergency Storage,Out of Stock,17/01/2025,09/03/2025
Create Personal Protective Equipment,MediCorp,33,409.64,13518.12,25/03/2026,Warehouse B,Out of Stock,19/07/2022,24/11/2022
Next Personal Protective Equipment,MedSupplies,70,39.2,2744,23/03/2026,Emergency Storage,Out of Stock,15/05/2024,17/12/2024
Effort Medicine,PharmaPlus,169,93.02,15720.38,27/11/2027,Main Hospital,Available,18/12/2024,11/02/2025
Today Sanitizers,PharmaPlus,283,100.14,28339.62,26/01/2028,Emergency Storage,Available,11/02/2023,07/03/2023
House Surgical Equipment,PharmaPlus,2,311.65,623.3,26/03/2027,Warehouse A,Available,20/03/2022,28/04/2023
Some Sanitizers,MedSupplies,170,102.19,17372.3,01/01/2028,Main Hospital,Low Stock,09/03/2022,08/05/2023
Recognize Personal Protective Equipment,HealthFirst,194,156.8,30419.2,22/02/2025,Clinic Branch,Low Stock,07/06/2022,18/07/2024
Force Surgical Equipment,HealthFirst,256,358.28,91719.68,17/02/2027,Clinic Branch,Out of Stock,21/04/2023,06/09/2024
Adult Personal Protective Equipment,CareWell,268,119.21,31948.28,20/07/2024,Emergency Storage,Available,11/02/2023,18/04/2024
Push Surgical Equipment,CareWell,213,455.39,96998.07,22/07/2025,Warehouse B,Available,28/11/2022,01/10/2023
Anything Personal Protective Equipment,HealthFirst,7,413.31,2893.17,19/11/2027,Warehouse B,Available,09/06/2022,19/01/2023
Experience Diagnostic Tools,PharmaPlus,120,422.56,50707.2,22/11/2025,Warehouse B,Low Stock,28/05/2023,
Interest Sanitizers,MediCorp,90,159.32,14338.8,24/03/2024,Warehouse B,Out of Stock,04/09/2022,22/06/2024
Bag Diagnostic Tools,PharmaPlus,236,117.82,27805.52,27/05/2026,Clinic Branch,Low Stock,29/05/2022,22/06/2023
Could Personal Protective Equipment,CareWell,188,110.46,20766.48,11/09/2025,Clinic Branch,Low Stock,02/05/2024,22/10/2024
Bring Medicine,MediCorp,143,356.23,50940.89,03/04/2025,Clinic Branch,Out of Stock,26/02/2022,04/09/2022
Reason Personal Protective Equipment,HealthFirst,155,266.59,41321.45,22/01/2028,Emergency Storage,Low Stock,20/05/2024,17/09/2024
Foot Medicine,CareWell,37,314.43,11633.91,09/09/2026,Clinic Branch,Available,01/10/2022,28/11/2022
Sort Diagnostic Tools,HealthFirst,165,343.95,56751.75,25/09/2024,Clinic Branch,Low Stock,04/12/2024,23/01/2025
Agree Diagnostic Tools,PharmaPlus,198,424.01,83953.98,22/03/2025,Emergency Storage,Low Stock,28/06/2024,15/12/2024
House Medicine,MedSupplies,0,460.74,0,04/02/2027,Main Hospital,Available,24/05/2022,06/05/2024
He Sanitizers,PharmaPlus,172,140.21,24116.12,01/11/2026,Main Hospital,Available,21/01/2024,
Scene Medicine,MediCorp,183,452.72,82847.76,29/04/2026,Warehouse A,Low Stock,11/02/2023,17/03/2024
Moment Medicine,MedSupplies,92,95.65,8799.8,15/07/2027,Emergency Storage,Low Stock,12/05/2022,01/08/2023
Hot Personal Protective Equipment,MedSupplies,143,240.79,34432.97,25/08/2024,Main Hospital,Low Stock,25/07/2024,
Worker Personal Protective Equipment,CareWell,225,422.86,95143.5,27/05/2025,Clinic Branch,Low Stock,07/05/2022,14/08/2022
Plan Personal Protective Equipment,MedSupplies,201,319.12,64143.12,25/09/2026,Emergency Storage,Out of Stock,18/11/2024,27/12/2024
Floor Surgical Equipment,MediCorp,169,325.04,54931.76,11/03/2024,Warehouse A,Out of Stock,23/06/2024,07/07/2024
Popular Sanitizers,PharmaPlus,296,406.62,120359.52,26/11/2025,Clinic Branch,Available,25/02/2023,17/05/2024
Point Personal Protective Equipment,CareWell,14,14.15,198.1,29/07/2027,Main Hospital,Low Stock,26/03/2022,22/08/2022
Present Medicine,MediCorp,289,265.85,76830.65,03/04/2024,Main Hospital,Out of Stock,06/03/2023,
Newspaper Diagnostic Tools,PharmaPlus,0,125.19,0,19/11/2025,Emergency Storage,Out of Stock,17/06/2022,21/09/2022
Response Medicine,MediCorp,212,453.48,96137.76,31/05/2027,Warehouse A,Available,05/08/2023,31/07/2024
Investment Surgical Equipment,PharmaPlus,97,497.97,48303.09,23/11/2025,Warehouse B,Low Stock,06/06/2023,28/01/2024
Night Medicine,MedSupplies,207,430.19,89049.33,26/02/2026,Clinic Branch,Low Stock,26/11/2024,12/02/2025
Treat Diagnostic Tools,CareWell,293,117.66,34474.38,28/05/2024,Clinic Branch,Out of Stock,22/05/2024,01/07/2024
Almost Sanitizers,PharmaPlus,47,339.24,15944.28,21/04/2026,Clinic Branch,Low Stock,22/06/2022,06/07/2023
Develop Sanitizers,MediCorp,93,269.8,25091.4,25/06/2027,Warehouse B,Low Stock,24/01/2023,14/01/2025
Voice Sanitizers,PharmaPlus,230,280.72,64565.6,19/08/2025,Emergency Storage,Out of Stock,19/09/2023,21/01/2025
Law Diagnostic Tools,HealthFirst,119,455.9,54252.1,19/04/2024,Main Hospital,Available,08/04/2024,27/08/2024
Drug Personal Protective Equipment,MedSupplies,160,366.9,58704,04/03/2025,Warehouse B,Available,03/05/2022,14/08/2022
Ten Sanitizers,MedSupplies,71,85.08,6040.68,18/05/2027,Main Hospital,Available,20/07/2024,24/01/2025
Human Sanitizers,,119,166.14,19770.66,26/09/2024,Warehouse B,Low Stock,14/05/2024,11/08/2024
Try Diagnostic Tools,MedSupplies,155,138.37,21447.35,21/11/2024,Clinic Branch,Available,31/01/2025,05/02/2025
Picture Medicine,MedSupplies,224,391.52,87700.48,21/09/2025,Main Hospital,Available,01/02/2023,
Mention Diagnostic Tools,MediCorp,157,350.9,55091.3,14/01/2027,Main Hospital,Low Stock,08/03/2023,04/11/2024
Treat Surgical Equipment,CareWell,2,27.39,54.78,08/06/2024,Warehouse A,Out of Stock,25/09/2022,16/07/2024
Report Sanitizers,MedSupplies,251,135.61,34038.11,03/07/2026,Emergency Storage,Low Stock,15/05/2024,17/11/2024
Cause Surgical Equipment,MediCorp,10,241.53,2415.3,10/04/2024,Clinic Branch,Low Stock,21/01/2025,23/01/2025
Seven Medicine,MediCorp,147,64.09,9421.23,23/01/2028,Warehouse B,Low Stock,09/04/2023,26/04/2023
Whether Medicine,MedSupplies,7,287.14,2009.98,20/06/2026,Warehouse B,Available,10/11/2022,20/09/2023
Product Personal Protective Equipment,MedSupplies,287,365.43,104878.41,27/02/2024,Clinic Branch,Available,10/07/2022,13/10/2024
Sea Personal Protective Equipment,MedSupplies,49,470.71,23064.79,09/07/2024,Clinic Branch,Available,17/05/2023,04/11/2023
Concern Personal Protective Equipment,CareWell,92,220.9,20322.8,23/06/2025,Emergency Storage,Available,16/05/2024,24/10/2024
Step Sanitizers,HealthFirst,124,368.24,45661.76,31/12/2027,Emergency Storage,Low Stock,05/04/2024,26/11/2024
Cover Personal Protective Equipment,PharmaPlus,227,157.47,35745.69,04/11/2025,Clinic Branch,Out of Stock,15/06/2022,16/02/2024
Determine Sanitizers,HealthFirst,185,400.8,74148,13/06/2026,Warehouse B,Low Stock,05/02/2024,21/03/2025
Yeah Sanitizers,PharmaPlus,106,107.24,11367.44,10/04/2027,Warehouse B,Available,15/08/2023,16/02/2024
Edge Personal Protective Equipment,HealthFirst,130,269.97,35096.1,15/09/2025,Clinic Branch,Available,09/09/2022,11/02/2024
Western Medicine,PharmaPlus,102,48.89,4986.78,11/12/2024,Warehouse B,Low Stock,15/03/2023,29/04/2023
Assume Surgical Equipment,CareWell,41,294.37,12069.17,02/07/2025,Warehouse A,Low Stock,20/10/2023,17/12/2023
It Medicine,CareWell,13,301.31,3917.03,12/04/2025,Warehouse A,Available,29/10/2022,08/03/2023
Ago Sanitizers,MediCorp,297,272.86,81039.42,07/10/2025,Main Hospital,Available,16/09/2022,12/03/2024
Congress Personal Protective Equipment,CareWell,129,150.76,19448.04,21/04/2027,Main Hospital,Low Stock,11/11/2022,09/07/2024
Glass Sanitizers,HealthFirst,7,390.83,2735.81,04/10/2026,Clinic Branch,Available,13/08/2022,04/04/2023
Industry Personal Protective Equipment,HealthFirst,265,46.34,12280.1,16/06/2025,Emergency Storage,Available,21/06/2023,25/01/2025
Rather Sanitizers,PharmaPlus,269,128.02,34437.38,18/01/2025,Warehouse B,Low Stock,05/09/2023,10/03/2024
Administration Surgical Equipment,CareWell,194,339.64,65890.16,27/09/2027,Emergency Storage,Out of Stock,15/06/2024,
Over Diagnostic Tools,CareWell,3,251.53,754.59,27/06/2025,Clinic Branch,Out of Stock,15/10/2024,17/01/2025
Factor Personal Protective Equipment,HealthFirst,83,182.97,15186.51,01/10/2024,Emergency Storage,Low Stock,16/02/2023,06/10/2024
Lose Sanitizers,HealthFirst,215,271.01,58267.15,14/08/2024,Warehouse A,Out of Stock,27/06/2024,14/12/2024
Stock Personal Protective Equipment,PharmaPlus,132,398.26,52570.32,13/12/2025,Warehouse B,Available,21/01/2024,
Mrs Surgical Equipment,HealthFirst,39,437.12,17047.68,17/12/2024,Warehouse A,Out of Stock,22/06/2024,05/07/2024
Compare Personal Protective Equipment,PharmaPlus,95,157.6,14972,17/06/2025,Main Hospital,Available,28/07/2023,20/05/2024
Move Surgical Equipment,MediCorp,93,369.97,34407.21,26/08/2025,Main Hospital,Out of Stock,19/05/2022,06/05/2024
Economic Diagnostic Tools,MedSupplies,86,375.16,32263.76,20/10/2025,Main Hospital,Available,15/09/2024,02/11/2024
Well Diagnostic Tools,MediCorp,57,247.92,14131.44,21/06/2025,Emergency Storage,Out of Stock,26/03/2024,11/10/2024
Teacher Sanitizers,MedSupplies,176,127.94,22517.44,17/06/2027,Emergency Storage,Available,23/05/2022,29/10/2023
Under Diagnostic Tools,MedSupplies,31,107.88,3344.28,27/09/2025,Clinic Branch,Available,22/10/2023,28/02/2025
Why Medicine,PharmaPlus,199,16.93,3369.07,05/09/2027,Emergency Storage,Available,22/11/2024,26/01/2025
Language Sanitizers,MedSupplies,253,370.55,93749.15,30/06/2027,Warehouse A,Available,01/09/2023,20/12/2024
Point Surgical Equipment,PharmaPlus,46,410.36,18876.56,19/11/2025,Clinic Branch,Low Stock,01/02/2025,05/02/2025
True Medicine,MedSupplies,68,62.51,4250.68,22/11/2025,Main Hospital,Out of Stock,14/11/2022,21/02/2025
Number Diagnostic Tools,MedSupplies,43,391.71,16843.53,28/02/2025,Warehouse A,Available,29/10/2022,31/10/2024
Watch Medicine,HealthFirst,98,153.46,15039.08,23/05/2026,Main Hospital,Out of Stock,30/07/2023,08/08/2023
Table Sanitizers,CareWell,3,245.16,735.48,04/11/2027,Emergency Storage,Out of Stock,18/04/2024,29/09/2024
Example Surgical Equipment,CareWell,240,80.55,19332,17/01/2025,Main Hospital,Low Stock,24/04/2022,05/11/2023
Recognize Medicine,,163,7.12,1160.56,30/10/2027,Main Hospital,Low Stock,05/12/2024,26/02/2025
Response Medicine,MediCorp,161,109.58,17642.38,23/12/2024,Emergency Storage,Available,28/08/2024,11/03/2025
Kitchen Surgical Equipment,PharmaPlus,251,70.98,17815.98,04/01/2028,Emergency Storage,Out of Stock,26/09/2022,24/01/2024
Happy Diagnostic Tools,MediCorp,117,42.48,4970.16,10/03/2027,Warehouse A,Low Stock,25/03/2023,02/06/2023
List Diagnostic Tools,CareWell,230,375.63,86394.9,05/04/2027,Main Hospital,Available,15/08/2023,04/06/2024
Political Diagnostic Tools,CareWell,105,166.23,17454.15,17/12/2027,Warehouse A,Available,15/08/2024,01/09/2024
Take Medicine,PharmaPlus,59,76.23,4497.57,19/02/2027,Emergency Storage,Available,15/03/2022,19/08/2024
It Personal Protective Equipment,PharmaPlus,50,477.96,23898,19/02/2027,Warehouse A,Low Stock,07/09/2023,
International Sanitizers,HealthFirst,65,128.52,8353.8,05/06/2025,Warehouse A,Available,25/06/2024,02/02/2025
Need Diagnostic Tools,HealthFirst,107,66.02,7064.14,14/05/2026,Warehouse B,Low Stock,19/04/2023,16/06/2023
Deep Medicine,MedSupplies,164,463.41,75999.24,05/10/2025,Clinic Branch,Available,12/06/2023,04/11/2024
Marriage Personal Protective Equipment,HealthFirst,164,315.1,51676.4,26/07/2024,Clinic Branch,Low Stock,18/08/2023,06/02/2024
Teacher Medicine,HealthFirst,59,151.16,8918.44,07/08/2026,Clinic Branch,Low Stock,31/08/2024,18/01/2025
Hair Personal Protective Equipment,MedSupplies,278,69.42,19298.76,16/02/2027,Emergency Storage,Available,21/05/2024,01/08/2024
Up Personal Protective Equipment,HealthFirst,183,398.25,72879.75,28/10/2026,Warehouse A,Out of Stock,24/01/2025,20/03/2025
Fill Diagnostic Tools,CareWell,193,496.66,95855.38,11/03/2027,Main Hospital,Low Stock,07/01/2025,02/02/2025
Too Medicine,CareWell,43,86.14,3704.02,12/02/2027,Warehouse B,Low Stock,07/07/2024,22/11/2024
Media Sanitizers,HealthFirst,42,426.42,17909.64,23/12/2027,Clinic Branch,Available,16/09/2022,04/07/2023
Down Personal Protective Equipment,CareWell,154,319.72,49236.88,03/01/2025,Main Hospital,Low Stock,14/02/2023,02/12/2024
Degree Sanitizers,MedSupplies,144,165.3,23803.2,26/04/2024,Warehouse B,Available,22/12/2022,26/09/2023
Crime Surgical Equipment,,258,119.56,30846.48,03/12/2025,Warehouse A,Available,17/10/2022,22/08/2023
Wear Sanitizers,HealthFirst,148,356.1,52702.8,13/01/2025,Warehouse B,Low Stock,26/07/2023,25/01/2025
Increase Sanitizers,HealthFirst,177,277.76,49163.52,13/06/2025,Emergency Storage,Out of Stock,03/05/2022,18/09/2024
Story Medicine,MediCorp,242,449.63,108810.46,30/04/2025,Emergency Storage,Available,11/01/2024,22/10/2024
City Sanitizers,HealthFirst,189,431.85,81619.65,19/12/2024,Clinic Branch,Available,09/08/2022,17/01/2024
Media Personal Protective Equipment,MedSupplies,268,238.6,63944.8,02/10/2026,Warehouse A,Available,13/04/2023,29/05/2024
Stage Sanitizers,MedSupplies,191,200.28,38253.48,11/01/2027,Warehouse B,Available,23/01/2025,17/03/2025
